State,Total Seats,Total Senate,Senate Republican,Senate Democrat,Senate Other,Total House,House Republican,House Democrat,House Other,"Legis. 
Control","Gov. 
Party","State 
Control"
Alabama,140,35,7,26,"1, 1v",105,33,70,2v,Rep,Rep,Rep
Alaska,60,20,6,14,0,40,16,21,"2, 1v",Rep,Ind,Divided
Arizona,90,30,13,16,1v,60,25,35,0,Rep,Rep,Rep
Arkansas,135,35,9,24,2v,100,24,75,1v,Rep,Rep,Rep
California,120,40,27,13,0,80,52,25,3v,Dem,Dem,Dem
Colorado,100,35,16,18,1,65,37,27,1v,Divided,Dem,Divided
Connecticut,187,36,18,18,0,151,78,71,2v,Divided,Dem,Divided
Delaware,62,21,11,10,0,41,25,16,0,Dem,Dem,Dem
Florida,160,40,15,24,1v,120,40,76,4v,Rep,Rep,Rep
Georgia,236,56,19,36,1v,180,64,114,2v,Rep,Rep,Rep
Hawaii,76,25,25,0,0,51,45,5,1v,Dem,Dem,Dem
Idaho,105,35,6,29,0,70,11,59,0,Rep,Rep,Rep
Illinois,177,59,37,22,0,118,66,51,1v,Dem,Rep,Divided
Indiana,150,50,9,40,1v,100,30,70,0,Rep,Rep,Rep
Iowa,150,50,20,29,1,100,41,59,0,Rep,Rep,Rep
Kansas,165,40,9,31,0,125,40,85,0,Rep,Rep,Rep
Kentucky,138,38,11,27,0,100,36,63,1v,Rep,Rep,Rep
Louisiana,144,39,14,25,0,105,41,61,3,Rep,Rep Dem,Divided
Maine,186,35,17,18,0,151,74,70,7,Divided,Rep,Divided
Maryland,188,47,33,14,0,141,91,49,1v,Dem,Rep,Divided
Massachusetts,200,40,32,7,1v,160,124,34,"1, 1v",Dem,Rep,Divided
Michigan,148,38,11,27,0,110,47,63,0,Rep,Rep,Rep
Minnesota,201,67,32,34,1v,134,57,76,1v,Rep,Dem,Divided
Mississippi,174,52,19,32,1v,122,48,73,1v,Rep,Rep,Rep
Missouri,197,34,9,25,0,163,46,112,5v,Rep,Rep,Rep
Montana,150,50,18,32,0,100,41,58,1v,Rep,Dem,Divided
Nebraska,49,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Rep,N/A
Nevada,63,22,10,9,"1, 1v",42,27,14,1v,Dem,Rep,Divided
New Hampshire,424,24,10,14,0,400,175,218,"3, 4v",Rep,Rep,Rep
New Jersey,120,40,25,15,0,80,54,26,0,Dem,Dem,Dem
New Mexico,112,42,26,16,0,70,38,32,0,Dem,Rep,Divided
New York,213,63,30,31,2v,150,103,37,"1, 9v",Divided,Dem,Divided
North Carolina,170,50,15,35,0,120,45,75,0,Rep,Dem,Divided
North Dakota,141,47,9,38,0,94,13,81,0,Rep,Rep,Rep
Ohio,132,33,9,24,0,99,33,64,2v,Rep,Rep,Rep
Oklahoma,149,48,7,40,1v,101,28,72,1v,Rep,Rep,Rep
Oregon,90,30,17,13,0,60,35,25,0,Dem,Dem,Dem
Pennsylvania,253,50,16,34,0,203,80,120,3v,Rep,Dem,Divided
Rhode Island,113,38,33,5,0,75,64,11,0,Dem,Dem,Dem
South Carolina,170,46,18,28,0,124,44,77,3v,Rep,Rep,Rep
South Dakota,105,35,6,29,0,70,10,60,0,Rep,Rep,Rep
Tennessee,132,33,5,26,2v,99,25,73,1v,Rep,Rep,Rep
Texas,181,31,11,20,0,150,56,94,0,Rep,Rep,Rep
Utah,104,29,5,23,1v,75,13,61,1v,Rep,Rep,Rep
Vermont,180,30,21,7,2,150,83,53,14,Dem,Rep,Divided
Virginia,140,40,19,21,0,100,49,51,0,Rep,Dem,Divided
Washington,147,49,26,22,1v,98,50,48,0,Dem,Dem,Dem
West Virginia,134,34,12,22,0,100,36,63,1v,Rep,Rep,Rep
Wisconsin,132,33,13,18,2v,99,35,62,2v,Rep,Rep,Rep
Wyoming,90,30,3,27,0,60,9,51,0,Rep,Rep,Rep
